what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1294662533683
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1294662533712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662537074
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662538403
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662539429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662634835
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1294662638148
opened,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294662646747
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294662646800
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1294662658750
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1294662659304
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1294662666310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1294662672309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1294662672826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1294662676772
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662677108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662686141
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662686723
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662687326
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1294662687914
opened,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294662692052
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294662692116
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1294662695542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662695915
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662740674
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1294662741706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662745741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662767093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662767667
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662769135
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662769524
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662770250
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662771105
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662796483
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662797245
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662922382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662923630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294662983561
opened,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294662988899
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294662988954
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1294662998326
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663000144
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663033221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663033484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663108152
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663108683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663127014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663127441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663128952
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663129266
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663171623
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1294663172684
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663174337
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1294663176922
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1294663177009
started,bundle,org.eclipse.rse.ui,3.1.100.v201005282245,"org.eclipse.rse.ui",1294663177260
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.0.v201005221100,"org.eclipse.rse.subsystems.files.core",1294663177267
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1294663177275
started,bundle,org.eclipse.rse.files.ui,3.1.100.v201005221100,"org.eclipse.rse.files.ui",1294663177299
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1294663177338
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1294663177338
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1294663177599
started,bundle,org.eclipse.rse.services.local,2.1.200.v201005261700,"org.eclipse.rse.services.local",1294663177664
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1294663178945
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1294663187624
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663187661
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1294663187680
error,log,,,"Problems encountered during text search.",1294663187835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663188013
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663189614
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663194328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663201403
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1294663201436
error,log,,,"Problems encountered during text search.",1294663201458
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663201738
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663203774
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1294663205276
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1294663206004
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663207975
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1294663214125
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1294663215990
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663216043
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1294663216059
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294663217620
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1294663218371
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663219643
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1294663226270
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663226318
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1294663226331
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294663229284
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663231876
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663499385
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1294663500458
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294663503050
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1294663506136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294663506989
